cell_type,gene,DEG,pred,hic_loop,hic_abc_dmr,hic_abc_peak
L6_CT_CTX_Glut,Insr,-1,0,0.11181743,0.3290193,0.5591632
L6_CT_CTX_Glut,Ppp1r12c,-1,-1,0.20782824,0.2645704,0.52760136
L6_CT_CTX_Glut,Ip6k1,-1,-1,0.8833598,0.080968186,0.03567205
L6_CT_CTX_Glut,Tnfrsf25,-1,-1,0.012598357,0.8015996,0.185802
L6_CT_CTX_Glut,Nrp1,-1,1,0.7040041,0.0025969918,0.2933989
L6_CT_CTX_Glut,Fbxw5,-1,-1,0.7864513,0.1642776,0.049271144
L6_CT_CTX_Glut,Usp11,-1,-1,0.008998833,0.7413683,0.24963292
L6_CT_CTX_Glut,Rai14,-1,-1,0.010606515,0.06469804,0.9246955
L6_CT_CTX_Glut,Grik4,-1,-1,0.9777354,0.0015214921,0.02074311
L6_CT_CTX_Glut,Sirt2,-1,-1,0.86254656,0.052783288,0.08467017
L6_CT_CTX_Glut,Icam5,-1,-1,0.64494437,0.263949,0.09110661
L6_CT_CTX_Glut,Map3k5,-1,-1,0.62659734,0.014348072,0.3590546
L6_CT_CTX_Glut,Ggt7,-1,-1,0.69182754,0.091986366,0.2161861
L6_CT_CTX_Glut,Il17ra,-1,-1,0.0342815,0.5336837,0.43203488
L6_CT_CTX_Glut,Setdb1,-1,0,0.22367486,0.56536806,0.210957
L6_CT_CTX_Glut,Celsr2,-1,-1,0.87577665,0.06717094,0.057052445
L6_CT_CTX_Glut,Flna,-1,-1,0.014279809,0.20650995,0.7792102
L6_CT_CTX_Glut,Ldha,-1,-1,0.010451615,0.8470287,0.14251971
L6_CT_CTX_Glut,Nr1d1,-1,-1,0.02610548,0.55920315,0.41469142
L6_CT_CTX_Glut,Sbno2,-1,-1,0.011641588,0.16089931,0.8274591
L6_CT_CTX_Glut,Mef2d,-1,-1,0.8083051,0.10762389,0.084071055
L6_CT_CTX_Glut,Car7,-1,0,0.10628156,0.7704394,0.12327912
L6_CT_CTX_Glut,Garnl3,-1,-1,0.85581565,0.06309897,0.0810854
L6_CT_CTX_Glut,Becn1,-1,-1,0.5147203,0.46398765,0.02129196
L6_CT_CTX_Glut,Myo18a,-1,-1,0.97583395,0.016419431,0.007746709
L6_CT_CTX_Glut,Hspa14,-1,0,0.006526068,0.22307175,0.7704022
L6_CT_CTX_Glut,Stmn1,-1,-1,0.85808927,0.10859726,0.033313364
L6_CT_CTX_Glut,Pigt,-1,-1,0.12907386,0.771491,0.09943516
L6_CT_CTX_Glut,Ptk7,-1,-1,0.96552217,0.022373082,0.012104737
L6_CT_CTX_Glut,Sema4a,-1,-1,0.9571645,0.024915429,0.01792012
L6_CT_CTX_Glut,Zmiz2,-1,-1,0.7272565,0.1606283,0.11211531
L6_CT_CTX_Glut,Gpatch1,-1,-1,0.5447512,0.26098785,0.19426091
L6_CT_CTX_Glut,Apbb1,-1,-1,0.23795485,0.49433827,0.26770684
L6_CT_CTX_Glut,Clip1,-1,-1,0.8554005,0.0037835683,0.14081599
L6_CT_CTX_Glut,Rsrp1,-1,-1,0.12153524,0.025999121,0.8524656
L6_CT_CTX_Glut,Stx1a,-1,-1,0.2519649,0.34459364,0.4034415
L6_CT_CTX_Glut,Trim37,-1,-1,0.60547745,0.12076151,0.27376103
L6_CT_CTX_Glut,Grm1,1,1,0.9284942,0.007474181,0.06403157
L6_CT_CTX_Glut,Skap2,1,1,0.9030153,0.003218807,0.09376589
L6_CT_CTX_Glut,Rap1gap,-1,-1,0.9563612,0.0037492628,0.039889626
L6_CT_CTX_Glut,Brinp2,-1,1,0.93229586,0.0068912795,0.060812946
L6_CT_CTX_Glut,Srpk1,-1,-1,0.9468375,0.031178277,0.021984272
L6_CT_CTX_Glut,Gbf1,-1,-1,0.969243,0.01427291,0.01648413
L6_CT_CTX_Glut,Filip1l,1,0,0.37610346,0.028494623,0.5954019
L6_CT_CTX_Glut,Mapk14,-1,-1,0.94892734,0.010250932,0.040821683
L6_CT_CTX_Glut,Hnrnpul1,-1,-1,0.21931903,0.37534255,0.4053384
L6_CT_CTX_Glut,Gna11,-1,-1,0.03196997,0.44084865,0.5271814
L6_CT_CTX_Glut,Psmd13,-1,-1,0.7438843,0.113873184,0.14224254
L6_CT_CTX_Glut,Bex2,-1,0,0.002560503,0.92862904,0.06881041
L6_CT_CTX_Glut,Ints3,-1,-1,0.50291723,0.26296362,0.23411913
L6_CT_CTX_Glut,Rnf152,-1,0,0.4256154,0.23785184,0.33653277
L6_CT_CTX_Glut,Slc6a17,-1,-1,0.89015645,0.05636634,0.053477224
L6_CT_CTX_Glut,Chd5,-1,-1,0.959001,0.020179505,0.02081945
L6_CT_CTX_Glut,Galnt16,-1,-1,0.8860863,0.05777812,0.056135625
L6_CT_CTX_Glut,Foxk2,-1,0,0.008753751,0.028028538,0.9632177
L6_CT_CTX_Glut,Sntg1,1,1,0.12392075,0.022965353,0.85311383
L6_CT_CTX_Glut,Ube2v1,-1,-1,0.82248676,0.04212584,0.1353874
L6_CT_CTX_Glut,Cdk10,-1,-1,0.64780074,0.25828367,0.09391555
L6_CT_CTX_Glut,Rabgap1l,1,-1,0.8732132,0.0016279554,0.12515883
L6_CT_CTX_Glut,Srcap,-1,-1,0.96709967,0.016381197,0.016519174
L6_CT_CTX_Glut,Tuba1b,-1,-1,0.8649936,0.10623071,0.028775772
L6_CT_CTX_Glut,Ddx17,-1,-1,0.40680513,0.41650197,0.17669284
L6_CT_CTX_Glut,Hs3st2,-1,-1,0.85900426,0.0073871426,0.13360853
L6_CT_CTX_Glut,Srebf2,-1,-1,0.9374688,0.0054058405,0.057125382
L6_CT_CTX_Glut,Agpat1,-1,-1,0.22153467,0.6339877,0.14447758
L6_CT_CTX_Glut,Nup210,-1,-1,0.8858998,0.0067836116,0.10731662
L6_CT_CTX_Glut,Lman2l,-1,-1,0.7423773,0.13087977,0.126743
