gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
Neurl1b,0,-1,3.0274058e-11,7.75752e-25,6.498453e-05,0.99993503,3.3451057e-19,3.4248185e-15,7.5093565e-18
Acvr1b,0,0,0.99345523,2.065671e-11,0.0051506977,1.289701e-34,5.0616698e-09,0.0013925809,1.4699953e-06
Cltc,0,0,4.9227102e-09,7.42297e-07,7.933231e-06,0.99998987,1.03836445e-11,1.4169331e-06,7.6461526e-10
Xpo4,0,0,4.6209372e-08,0.00020015503,6.9345515e-05,0.999634,1.8080411e-10,9.6435404e-05,6.0920193e-09
Eri2,0,0,4.605395e-07,1.6598205e-14,0.8256308,0.17436872,3.4041636e-15,3.3958246e-11,2.3715278e-14
Sco2,0,0,1.4400986e-23,1.5548752e-29,3.0864601e-24,7.536461e-37,1.0,1.0991457e-20,4.2729645e-24
C730034F03Rik,0,0,8.8733293e-07,0.95551765,0.042893864,4.3417748e-32,2.7986455e-09,0.0015871089,4.4274736e-07
B3gat3,0,-1,2.0902721e-13,1.0,1.1485818e-13,8e-45,3.5327643e-16,1.1083856e-09,1.444243e-13
Mocs1,0,0,1.8403056e-06,0.7993745,0.19515553,4.038438e-07,2.0739164e-09,0.0054675303,3.312482e-07
Rwdd1,0,0,0.01603226,5.09032e-10,0.0038857707,1.753023e-08,1.3262676e-05,0.968745,0.011323696
Camk2d,0,-1,2.738421e-11,0.9999999,1.6847515e-07,8e-45,1.1486846e-13,1.7231743e-08,7.728345e-12
Ubr7,0,-1,3.891849e-12,1.9374214e-15,5.4162452e-09,1.0,2.257709e-14,1.6766588e-09,2.1541272e-11
Hdac5,0,0,2.1881508e-06,1.09830145e-08,0.025970059,0.9422661,4.77682e-09,0.03176129,3.5782054e-07
Hivep3,0,1,1.855e-42,1e-45,2.07119e-40,1.0,4.9e-44,5.09773e-40,6.588e-42
Api5,0,1,2.1714688e-19,4.2919036e-29,8.063676e-27,1.0,2.2588807e-29,6.315402e-29,1.4657621e-27
Elovl1,1,1,1.2713657e-33,4e-45,3.58186e-40,1.0,3.77e-43,3.379497e-39,7.676e-42
Nek10,0,-1,5.4207584e-07,9.124943e-18,0.9999994,8.780802e-13,2.25282e-15,1.5775131e-12,2.968325e-13
Phlpp2,1,1,2.2615001e-38,0.0,2.44e-43,1.0,0.0,0.0,8e-45
Tmub2,1,1,4.9419016e-14,1.672316e-23,1.1140493e-08,1.0,4.0870104e-23,1.8690619e-19,7.495519e-22
Slc39a9,0,-1,8.7813605e-13,1.1193528e-12,1.0,0.0,1.2557939e-15,6.7103163e-12,2.5666787e-13
Tanc1,0,0,0.0014785199,9.890065e-07,0.00012126012,5.0511073e-08,1.639742e-06,0.9974396,0.0009578894
Zfp248,0,-1,6.191023e-09,1.9503562e-20,5.3886877e-14,1.0,9.873924e-16,4.810256e-13,1.5431988e-14
Prex1,0,-1,7.6630154e-11,0.9999999,8.7264036e-11,9.770592e-22,2.0591451e-13,1.2122017e-07,7.705751e-12
Zfp958,0,0,7.1190575e-06,1.973217e-09,0.00015532592,0.99476975,2.1960204e-08,0.005062347,5.448858e-06
Ltn1,0,0,0.00019238314,2.2663786e-09,0.92459846,7.194826e-30,4.869805e-07,0.07514975,5.912623e-05
Gab2,0,1,1.3483736e-33,1e-44,1.3762605e-38,1.0,8.279e-42,4.639629e-36,6.9533265e-38
Adk,0,0,1.4400986e-23,1.9407579e-22,5.0105533e-21,0.0,1.0,1.1431662e-20,1.9718825e-24
Gm13986,0,0,1.4400986e-23,8.438705e-28,3.3596463e-19,0.0,1.0,8.594773e-21,5.5170486e-24
Usp40,1,1,2.527818e-38,0.0,4.2e-44,1.0,1e-45,6.4446e-41,3.2e-44
Rps7,-1,-1,6.863424e-34,0.0,5.534071e-27,1.02e-43,3.422e-42,5.321101e-38,1.0
Gm28376,1,1,8.59164e-33,2.4400756e-37,4.461697e-30,1.0,3.5777014e-35,2.055921e-34,2.7958165e-33
4933413L06Rik,-1,0,0.0026434355,0.0081461985,0.0009877194,1.66225e-32,3.4883797e-06,0.98695767,0.0012614708
Brip1os,-1,-1,1.7580186e-20,3.6278966e-25,2.5377842e-08,1.0,1.4616452e-22,4.5119394e-19,3.0300712e-21
Fth1,-1,-1,4.881045e-08,2.6616485e-17,1.0,3e-45,1.648972e-16,3.827224e-12,6.788748e-14
Zfp804a,-1,0,0.00090073346,1.3889617e-09,0.84213847,0.045402903,6.6844514e-06,0.111339115,0.00021204313
Hpgds,-1,-1,1.9684278e-14,1.0,7.8597084e-13,0.0,1.9714533e-17,1.0051274e-10,1.6852437e-14
Mid1,-1,-1,1.7139363e-13,5.0333244e-16,1.0,2.7457193e-17,3.3574223e-16,4.114644e-12,7.048677e-13
Caskin1,-1,0,1.4400986e-23,1.6438889e-26,7.621883e-18,6.8367707e-34,1.0,3.220037e-20,9.219531e-24
Cox5a,-1,0,8.354248e-19,3.4932023e-25,1.0189248e-10,4.3064813e-30,1.0,3.446058e-25,6.4700194e-24
Atp5h,1,1,1.1533919e-24,1.1164855e-26,1.3381308e-25,1.0,2.2241762e-27,5.6972267e-21,2.4746335e-25
Robo1,-1,0,0.99754155,0.0003225685,0.0020293894,7.044543e-17,6.5437704e-09,0.000105069885,1.2594252e-06
Atp8a2,-1,-1,3.2860362e-15,1.0,3.0804314e-13,5.3e-44,1.33429295e-17,9.581972e-12,1.0309015e-15
Ubr1,-1,-1,8.84594e-22,1.6458487e-31,4.2806075e-28,1.0,8.4404986e-30,3.9522967e-25,1.4083949e-27
Gm13269,-1,0,0.00034726568,2.7380283e-06,2.2830802e-05,2.3788062e-21,3.4260313e-07,0.9991743,0.00045249157
Acaca,1,1,7e-45,0.0,3e-45,1.0,0.0,6.77e-43,8e-45
Slc25a5,-1,0,1.4400986e-23,3.40105e-20,1.6153871e-18,0.0,1.0,8.5514785e-20,2.6676477e-23
Fkbp1a,-1,-1,1.8934503e-06,0.46157995,0.5384182,3.609e-41,5.256486e-17,4.1820655e-11,1.1968004e-14
Ndufb11,-1,1,1.0989428e-23,6.868701e-38,6.9545344e-19,1.0,4.7702707e-33,6.946319e-33,2.76772e-31
Mif,1,0,6.316205e-34,1.3e-44,7.65929e-40,0.4940417,3.869e-42,1.9203513e-37,0.50595826
Spcs1,-1,-1,2.3643109e-27,1.0,1.9234078e-30,0.0,1.2626109e-36,7.068376e-31,1.978337e-34
Sorcs3,-1,-1,7.091536e-12,3.8444415e-26,9.272665e-13,1.0,5.0990386e-21,1.4060355e-16,3.258008e-19
B130024G19Rik,-1,-1,4.8266952e-29,1.0,1.5098648e-33,0.0,5.9900734e-38,4.024504e-32,7.111876e-36
Eef1a1,-1,-1,1.2112276e-06,1.4360514e-11,0.8732064,0.12679242,4.8226926e-15,1.3109038e-14,4.0233147e-14
Scube1,-1,0,1.3927715e-23,0.03286374,1.8572795e-19,0.0,0.96713626,5.815897e-21,5.70255e-24
Plekha6,-1,-1,9.87746e-40,7.7457085e-36,2.4631002e-37,0.0,6.858877e-17,2.3636e-41,1.0
Rpl28,-1,-1,2.930966e-39,1.0,1.1642395e-32,0.0,1.2455e-41,2.3162277e-36,5.07092e-40
Tbc1d12,-1,-1,2.7840954e-13,1.0,6.639338e-09,1.24e-42,3.518253e-16,1.8499229e-09,3.3811343e-13
Atp6v1f,1,1,8.271275e-31,1.2158554e-34,1.0133812e-26,1.0,4.633322e-33,1.9792599e-32,3.7324245e-31
Aifm3,-1,0,1.4349418e-23,0.003580772,5.793792e-11,0.0,0.9964192,3.5361496e-20,6.0295854e-24
Wfs1,1,1,1.4745977e-31,3.35e-43,9.915187e-37,1.0,3.456737e-39,1.0187703e-38,1.5035623e-37
Egr1,-1,-1,3.7973183e-34,1.1250118e-31,3.556889e-38,0.0,1.0073e-41,2.3636e-41,1.0
Dock7,1,0,7.337465e-13,4.531818e-16,3.8543307e-15,1.0,8.3712324e-16,9.157996e-13,1.4659075e-12
Ptk2,-1,0,3.310845e-05,1.2934214e-08,0.688366,7.7256175e-30,6.436675e-08,0.3115717,2.9044273e-05
Atp5j,1,0,1.3566017e-06,0.00018150412,1.9357328e-06,0.9963749,1.964974e-09,0.0034400527,2.5831142e-07
Odf2,1,1,8.432869e-23,2.4542596e-34,2.1489039e-29,1.0,1.2776053e-30,6.9023866e-27,1.7555176e-29
D030068K23Rik,1,1,1.2988146e-37,3.967512e-38,7.3407986e-35,1.0,4.55947e-40,1.0576195e-34,9.588337e-38
Copg2,-1,-1,4.1068335e-20,1.0,4.5414006e-18,0.0,5.2771346e-23,8.305449e-17,1.6543431e-20
Rpl37,1,1,5.4360235e-20,1.6113087e-23,1.8781829e-18,1.0,3.754877e-22,3.840269e-16,1.9951685e-20
Ddx6,-1,1,1.0479129e-19,1.7770921e-29,1.5635565e-25,1.0,2.5951625e-27,5.976116e-27,5.2541524e-24
Srgap1,1,1,5.308798e-29,7.257747e-33,5.516909e-29,0.9999963,3.6864276e-06,8.75094e-26,7.730885e-30
Tspyl4,-1,-1,9.355972e-12,0.9999999,1.0546766e-07,0.0,1.5591456e-14,5.734265e-08,1.2081666e-11
Mmp17,1,0,1.425569e-09,0.9999995,7.758084e-09,8.6177245e-27,5.1050926e-12,4.818965e-07,3.346179e-10
Gm27241,-1,-1,1.0921702e-27,1.0,5.4121554e-24,0.0,1.7518573e-30,4.197611e-25,9.947586e-28
Itm2b,1,0,0.00014724654,0.6468504,0.3087152,0.002139168,1.0640275e-06,0.0421108,3.6056623e-05
Golga5,-1,-1,9.87746e-40,8.59112e-40,1.5836206e-36,0.0,1.656e-42,2.3636e-41,1.0
A230004M16Rik,1,0,0.00045768812,0.00014768902,5.0400173e-05,2.6224941e-34,2.6536097e-06,0.9992768,6.476746e-05
