,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Lca5,0.0578666763587737,-0.450839477906385,0.046,0.065,1.0,0
Sorl1,0.0578810908941902,0.22195939242229,0.466,0.403,1.0,0
Prkg2,0.0579856603192996,-1.14907267758388,0.005,0.011,1.0,0
Cdc5l,0.0581314127773864,-0.333104625221564,0.059,0.073,1.0,0
Lin52,0.0582770415814942,-0.250134205365751,0.168,0.197,1.0,0
Prlr,0.0585042791723967,-0.756755254805116,0.016,0.025,1.0,0
Csnk1d,0.0585254816768917,-0.227761566229187,0.108,0.124,1.0,0
Fstl1,0.0585270989848412,-0.307929442069989,0.069,0.089,1.0,0
Coq10a,0.0585669525066361,0.658282244473727,0.034,0.022,1.0,0
Gm14066,0.058658490394585,-0.646572337054693,0.011,0.018,1.0,0
Tmco6,0.0586778459656753,-0.811203038827493,0.008,0.015,1.0,0
Dsel,0.058745208824073,0.595997966219385,0.045,0.029,1.0,0
Limd2,0.0588153812116117,-0.516804462084363,0.021,0.031,1.0,0
Eif2s2,0.0588646280277249,-0.222729719309185,0.079,0.096,1.0,0
Maged1,0.0589893374801632,0.402552639263167,0.093,0.083,1.0,0
Ptbp3,0.0590198236861436,-0.265635362695444,0.094,0.116,1.0,0
Npr3,0.059132693088313,-0.374383944446594,0.084,0.103,1.0,0
Zfp605,0.0591425103139299,-0.374139233218649,0.03,0.04,1.0,0
Pced1b,0.0591691220196242,-0.188385601608703,0.231,0.253,1.0,0
Ctc1,0.0592257844097273,-0.390627356007219,0.019,0.026,1.0,0
Zbtb34,0.0593812328063003,-0.600452023926441,0.019,0.029,1.0,0
Fam53c,0.0594315695311521,-0.377937943439026,0.041,0.053,1.0,0
Thumpd2,0.0594867710973269,-0.395157014487733,0.037,0.048,1.0,0
Pcdh19,0.0595150022682972,-0.445598899353151,0.13,0.16,1.0,0
Gm29514,0.059522384804042,-0.576183009163295,0.01,0.017,1.0,0
B230317F23Rik,0.0595324251960392,-0.83921741499709,0.011,0.021,1.0,0
