,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Mrpl14,0.183662782686439,0.732697262529403,0.03,0.018,1.0,0
Ryr1,0.183927898750051,0.732697262529403,0.019,0.011,1.0,0
2300009A05Rik,0.184001883359262,0.309702241471639,0.081,0.063,1.0,0
Deptor,0.18415458636005,0.245819761490436,0.14,0.115,1.0,0
Gabarapl2,0.184198896095335,0.42645078987431,0.054,0.04,1.0,0
Dtd2,0.184651441630001,0.65023510233743,0.024,0.015,1.0,0
Cstf2t,0.184758942812008,0.692055278032057,0.025,0.015,1.0,0
Rprm,0.185527436670318,0.936230656614534,0.013,0.007,1.0,0
Smim20,0.186264188377889,0.484769749085817,0.035,0.024,1.0,0
Rab1b,0.186359985346152,0.757788243492233,0.021,0.012,1.0,0
Ublcp1,0.186614901044589,0.408124446386476,0.079,0.058,1.0,0
Syndig1,0.18669400083918,-0.411692646805772,0.027,0.032,1.0,0
Bloc1s6,0.186852845108072,0.548272691391976,0.024,0.016,1.0,0
Ybey,0.186935898692925,0.785164682423538,0.02,0.011,1.0,0
Mrpl55,0.186976864779706,0.492870247856934,0.034,0.024,1.0,0
Myo1d,0.187799920619642,-0.225418656434289,0.11,0.122,1.0,0
Mcur1,0.188181121536319,0.147734761808247,0.036,0.032,1.0,0
Zfp101,0.188188225355921,0.16091015055598,0.079,0.069,1.0,0
Mir22hg,0.188509490457351,0.353053669785753,0.069,0.053,1.0,0
Myt1,0.189102376325885,0.305799608040497,0.072,0.057,1.0,0
