,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Zfhx2,1.19386571266516e-06,0.220659518868229,0.06,0.055,0.0310094680207649,0
Tbce,1.19927977685065e-06,-0.206080762328221,0.052,0.063,0.0311500929239187,0
Kdm3a,1.21235117498325e-06,-0.156316004620581,0.087,0.1,0.0314896094190149,0
Csad,1.21491710467682e-06,0.386890977643865,0.033,0.027,0.0315562568768758,0
Slc22a15,1.2235120935782e-06,-0.492174274364163,0.02,0.027,0.0317795031186001,0
Stmn2,1.23555796441795e-06,0.541981423625794,0.012,0.008,0.0320923825677918,0
Gna13,1.23720071830483e-06,-0.199359115802496,0.029,0.036,0.0321350514572497,0
Raf1,1.24443735229338e-06,-0.129596229125718,0.106,0.12,0.0323230157884682,0
Tmed10,1.25093293845108e-06,0.199590943611125,0.104,0.095,0.0324917321433284,0
Kdm4b,1.28969042133724e-06,0.268877684067383,0.048,0.043,0.0334984190038135,0
Chd1,1.30405217230136e-06,-0.205163739007935,0.07,0.083,0.0338714511233555,0
Ndufaf5,1.31081006179778e-06,-0.360267542583268,0.023,0.03,0.0340469805451355,0
Pitrm1,1.31350449257875e-06,-0.75651721125223,0.006,0.01,0.0341169656902404,0
Ino80dos,1.31423891251126e-06,0.143842386145894,0.065,0.063,0.0341360415135675,0
0610010F05Rik,1.32299644053091e-06,-0.161680467912108,0.058,0.068,0.03436350954635,0
Atat1,1.33739862683756e-06,0.322887912281773,0.053,0.044,0.0347375919334787,0
Eif6,1.35852105963261e-06,0.622372047910005,0.014,0.009,0.0352862260028975,0
Urm1,1.36060995147444e-06,0.302034459772812,0.047,0.038,0.035340482879597,0
Zfp365,1.38311191401338e-06,0.261491645896016,0.061,0.053,0.0359249488545836,0
Cdk7,1.38711390429176e-06,-0.177742169023,0.035,0.042,0.0360288965500742,0
Zfp386,1.38834097677922e-06,-0.228031935611766,0.041,0.051,0.0360607685308636,0
Ssr1,1.3962241148488e-06,0.391567431450731,0.038,0.031,0.0362655251590828,0
Psmd3,1.44418657306879e-06,0.516112037007335,0.02,0.014,0.0375113020488888,0
Slc29a3,1.48875417497028e-06,0.620424985639614,0.015,0.01,0.0386689009406781,0
Lmtk2,1.49271277067644e-06,-0.191803394374879,0.037,0.045,0.0387717215055498,0
Ndel1,1.50113181591187e-06,-0.239654279074802,0.045,0.055,0.0389903977864948,0
Pdap1,1.5185976014483e-06,0.575157841758969,0.017,0.012,0.0394440541000181,0
9530068E07Rik,1.5888618799198e-06,0.540797754716878,0.018,0.012,0.0412690984690369,0
Commd4,1.5939524448805e-06,0.581797772480954,0.016,0.011,0.0414013208033262,0
Med13l,1.61300150706171e-06,-0.133750494313003,0.127,0.142,0.041896101144421,0
Gm16541,1.61943676168344e-06,0.567118013216513,0.016,0.011,0.0420632504479658,0
Mcm3ap,1.64596920277724e-06,0.285433090540933,0.034,0.03,0.042752404072936,0
Garnl3,1.65008478058711e-06,-0.286711167497713,0.043,0.053,0.0428593020909697,0
Satb1,1.65254027169433e-06,0.491729574337499,0.021,0.015,0.0429230810169884,0
Flot2,1.68111214624679e-06,-0.296189113949999,0.02,0.026,0.0436652068866141,0
Ybx1,1.68714696025601e-06,0.254429994474254,0.049,0.045,0.0438219551456897,0
Smim15,1.69183456518241e-06,0.462045382932317,0.022,0.016,0.043943710996048,0
